Date,Time,1RSS(dB),2RSS(dB),TPWR(mW),Lipo,Curr(mA),Temp(°C),Rpm(kmh),Capa,ST,TH,P1,P2,P3,P4,SA,SB,SC,SD,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-02-25,12:25:21.250,-42,-30,10,3696,145,20,541,6,-2,-16,135,813,0,0,0,-1,-1,-1,0x10024C7FC00A0014,1502,1500,1500,1500,2012,1499,1493,1495,1500,1499,988,1500,1500,1500,1500,1500,1500,1500,1500,2012,1500,1544,1500,988,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:21.330,-42,-30,10,3696,145,20,541,6,-3,-15,135,813,0,0,0,-1,-1,-1,0x10024C7FC0020014,1502,1500,1500,1500,2012,1499,1493,1495,1500,1499,988,1500,1500,1500,1500,1500,1500,1500,1500,2012,1500,1544,1500,2012,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:21.830,-42,-53,10,3696,152,19,541,6,-2,-16,135,813,0,0,0,-1,-1,-1,0x10024C7FC0060014,1502,1500,1500,1500,2012,1499,1492,1493,1500,1499,988,1500,1500,1500,1500,1500,1500,1500,1500,2012,1500,1544,1500,2012,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:22.330,-43,-53,10,3696,167,19,541,6,-2,-461,135,813,0,0,0,-1,-1,-1,0x1002487FC20A0014,1502,1368,1500,1500,2012,1499,1270,1368,1500,1499,988,1500,1500,1500,1500,1500,1500,1368,1500,2012,1500,1544,1500,2012,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:22.830,-51,-50,10,3696,150,19,541,6,0,-748,135,813,0,0,0,-1,-1,-1,0x1002487FC2060014,1502,1239,1500,1500,2012,1500,1126,1239,1500,1500,988,1500,1500,1500,1500,1500,1500,1239,1500,2012,1500,1544,1500,988,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:23.330,-47,-50,10,3697,142,19,541,6,-1,-626,135,813,0,0,0,-1,-1,-1,0x1002487FC20E0014,1502,1259,1500,1500,2012,1500,1187,1260,1500,1500,988,1500,1500,1500,1500,1500,1500,1259,1500,2012,1500,1544,1500,988,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:23.830,-48,-53,10,3697,147,19,541,6,0,-15,135,813,0,0,0,-1,-1,-1,0x10024C7FC0060014,1502,1500,1500,1500,2012,1500,1493,1494,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,2012,1500,1544,1500,2012,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:24.330,-55,-51,10,3697,150,19,541,6,0,-15,135,813,0,0,0,-1,-1,-1,0x10024C7FC0060014,1502,1500,1500,1500,2012,1500,1493,1494,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,2012,1500,1544,1500,2012,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:24.830,-47,-48,10,3697,145,19,541,6,0,-16,136,813,0,0,0,-1,-1,-1,0x10024C7FC0060014,1502,1500,1500,1500,2012,1500,1492,1493,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,2012,1500,1544,1500,2012,1500,1500,1500,1500,1500,1500,1500,2012,8.3
2025-02-25,12:25:25.330,-47,-46,10,3697,160,19,541,6,97,-17,135,813,0,0,0,-1,-1,-1,0x10024C7FC0060014,1526,1500,1500,1500,2012,1548,1492,1493,1500,1554,988,1500,1500,1533,1500,1500,1500,1500,1500,2012,1500,1544,1500,2012,1500,1500,1500,1500,1500,1500,1500,2012,8.3
